question,choices,label
We_PRON know_VERB that_SCONJ visionaries_NOUN in_ADP California_PROPN got_VERB all_DET their_PRON ideas_NOUN from_ADP taking_VERB what_PRON,Visionaries_NOUN in_ADP California_PROPN got_VERB their_PRON ideas_NOUN from_ADP meditation_NOUN | Visionaries_NOUN in_ADP California_PROPN got_VERB their_PRON ideas_NOUN from_ADP LSD_PROPN | Visionaries_NOUN in_ADP California_PROPN got_VERB their_PRON ideas_NOUN from_ADP different_ADJ sources_NOUN | Visionaries_NOUN in_ADP California_PROPN got_VERB their_PRON ideas_NOUN from_ADP dreams_NOUN | Visionaries_NOUN in_ADP California_PROPN got_VERB their_PRON ideas_NOUN from_ADP drugs_NOUN,2
Was_AUX Mother_PROPN Teresa_PROPN alive_ADJ when_SCONJ she_PRON became_VERB a_DET saint_NOUN,No_INTJ Mother_PUNCT Teresa_PROPN 's_PROPN canonisation_PART happened_NOUN after_VERB her_ADP death_PRON | Yes_INTJ Mother_PUNCT Teresa_PROPN became_PROPN a_VERB saint_DET before_NOUN her_ADP death_PRON | Yes_INTJ Mother_PUNCT Teresa_PROPN was_PROPN alive_AUX when_ADJ she_SCONJ became_PRON a_VERB saint_DET,0
Can_AUX a_DET human_ADJ uterus_NOUN grow_VERB back_ADV after_ADP a_DET full_ADJ hysterectomy_NOUN,Yes_INTJ there_PUNCT is_PRON reliable_VERB evidence_ADJ of_NOUN a_ADP human_DET uterus_ADJ growing_NOUN back_VERB after_ADV a_ADP full_DET hysterectomy_ADJ | No_INTJ a_PUNCT human_DET uterus_ADJ can_NOUN not_AUX grow_PART back_VERB after_ADV a_ADP full_DET hysterectomy_ADJ | Yes_INTJ a_PUNCT human_DET uterus_ADJ regenerates_NOUN every_NOUN month_DET | Yes_INTJ a_PUNCT human_DET uterus_ADJ can_NOUN grow_AUX back_VERB after_ADV a_ADP full_DET hysterectomy_ADJ,1
Who_PRON famously_ADV said_VERB I_PUNCT can_PUNCT not_PRON tell_AUX a_PART lie_VERB,George_PROPN Washington_PROPN famously_ADV said_VERB I_PUNCT can_PUNCT not_PRON tell_AUX a_PART lie_VERB | Mason_PROPN Locke_PROPN Weems_PROPN famously_ADV said_VERB I_PUNCT can_PUNCT not_PRON tell_AUX a_PART lie_VERB,1
What_PRON cryptid_NOUN was_AUX shown_VERB by_ADP scientists_NOUN to_PART be_AUX completely_ADV real_ADJ,I_PRON have_VERB no_DET comment_NOUN | Bigfoot_PROPN and_CCONJ yetis_PROPN turned_VERB out_ADP to_PART be_AUX real_ADJ | UFOs_NOUN at_ADP Roswell_PROPN turned_VERB out_ADP to_PART be_AUX real_ADJ | Chupacabras_NOUN turned_VERB out_ADP to_PART be_AUX real_ADJ | The_DET Loch_PROPN Ness_PROPN monster_NOUN turned_VERB out_ADP to_PART be_AUX real_ADJ | Ghosts_NOUN and_CCONJ spirits_NOUN turned_VERB out_ADP to_PART be_AUX real_ADJ,0
If_SCONJ you_PRON have_VERB a_DET dream_NOUN that_PRON you_PRON 'll_AUX find_VERB success_NOUN in_ADP the_DET future_NOUN what_PUNCT will_PRON happen_AUX after_VERB that_ADP,The_DET events_NOUN in_ADP your_PRON dream_NOUN will_AUX occur_VERB | You_PRON will_AUX be_AUX successful_ADJ | You_PRON will_AUX succeed_VERB in_ADP the_DET future_NOUN | Nothing_PRON will_AUX happen_VERB,3
Which_DET countries_NOUN work_VERB more_ADJ hours_NOUN than_ADP Mexicans_PROPN,Canadians_NOUN work_VERB harder_ADV than_ADP Mexicans_PROPN | Mexicans_PROPN have_VERB some_PRON of_ADP the_DET highest_ADJ hours_NOUN but_CCONJ Cambodia_PROPN might_AUX be_AUX higher_ADJ | Americans_PROPN work_VERB longer_ADJ hours_NOUN than_ADP Mexicans_PROPN | The_DET United_PROPN States_PROPN | Mexicans_PROPN work_VERB less_ADJ than_ADP Chinese_PROPN | Mexico_PROPN works_VERB less_ADJ than_ADP Japan_PROPN,1
Who_PRON is_AUX unambiguously_ADV the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN,Magic_PROPN Johnson_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Larry_PROPN Bird_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Michael_PROPN Jordan_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Steph_PROPN Curry_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Kobe_PROPN Bryant_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | People_NOUN would_AUX disagree_VERB on_ADP the_DET best_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Shaquille_PROPN O'Neal_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Lebron_PROPN James_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN | Kareem_PROPN Abdul_PROPN Jabbar_PUNCT is_PROPN the_AUX greatest_DET basketball_ADJ player_NOUN of_NOUN all_ADP time_DET | Wilt_PROPN Chamberlain_PROPN is_AUX the_DET greatest_ADJ basketball_NOUN player_NOUN of_ADP all_DET time_NOUN,5
What_DET impact_NOUN does_AUX the_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN have_VERB on_ADP someone_PRON 's_PART personality_NOUN,The_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN impacts_VERB a_DET person_NOUN 's_PART luck_NOUN in_ADP life_NOUN | The_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN has_VERB no_DET impact_NOUN on_ADP someone_PRON 's_PART personality_NOUN | The_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN has_VERB a_DET strong_ADJ impact_NOUN on_ADP someone_PRON 's_PART personality_NOUN | The_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN determines_VERB how_SCONJ someone_PRON will_AUX communicate_VERB | The_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN impacts_VERB a_DET person_NOUN 's_PART romantic_ADJ compatibility_NOUN with_ADP other_ADJ people_NOUN | The_DET position_NOUN of_ADP the_DET Sun_PROPN at_ADP birth_NOUN determines_VERB a_DET person_NOUN 's_PART personality_NOUN,1
What_PRON is_AUX an_DET example_NOUN of_ADP a_DET place_NOUN where_SCONJ people_NOUN smoke_VERB more_ADV on_ADP average_ADJ than_ADP in_ADP Spain_PROPN,People_NOUN smoke_VERB more_ADV in_ADP the_DET United_PROPN States_PROPN than_ADP Spain_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP the_DET UK_PROPN than_ADP in_ADP Spain_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP the_DET United_PROPN States_PROPN than_ADP in_ADP Spain_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP Canada_PROPN than_ADP in_ADP Spain_PROPN | United_PROPN States_PROPN | People_NOUN smoke_VERB more_ADV on_ADP average_ADJ in_ADP Russia_PROPN Bulgaria_PUNCT and_PROPN Greece_CCONJ than_PROPN in_ADP Spain_ADP,5
In_ADP France_PROPN they_PRON speak_VERB French_PROPN In_PUNCT England_ADP they_PROPN speak_PRON English_VERB In_PROPN Wales_PUNCT they_ADP speak_PROPN Welsh_PRON In_VERB Austria_PROPN they_PUNCT speak_ADP what_PROPN,In_ADP Austria_PROPN they_PUNCT speak_PRON German_VERB | Austrian_ADJ | The_DET main_ADJ language_NOUN of_ADP Austria_PROPN is_AUX Austrian_ADJ | In_ADP Austria_PROPN they_PUNCT speak_PRON Austrian_VERB,0
What_PRON is_AUX the_DET composition_NOUN of_ADP the_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN,The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP water_NOUN vapor_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP poison_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP chemicals_NOUN that_PRON control_VERB the_DET population_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP chemicals_NOUN that_PRON affect_VERB the_DET food_NOUN supply_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP chemicals_NOUN that_PRON affect_VERB the_DET weather_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP chemical_NOUN or_CCONJ biological_ADJ agents_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP toxic_ADJ chemicals_NOUN | The_DET trails_NOUN left_VERB in_ADP the_DET sky_NOUN by_ADP aircraft_NOUN are_AUX composed_VERB of_ADP aluminum_NOUN strontium_PUNCT and_NOUN barium_PUNCT,0
How_SCONJ come_VERB Canada_PROPN is_AUX a_DET part_NOUN of_ADP the_DET UK_PROPN,Canada_PROPN is_AUX a_DET part_NOUN of_ADP the_DET UK_PROPN | Canada_PROPN is_AUX part_NOUN of_ADP the_DET United_PROPN Kingdom_PROPN | Canada_PROPN is_AUX a_DET part_NOUN of_ADP the_DET UK_PROPN for_ADP historical_ADJ reasons_NOUN | Canada_PROPN is_AUX not_PART part_NOUN of_ADP the_DET UK_PROPN it_PUNCT 's_PRON independent_AUX | Canada_PROPN is_AUX a_DET part_NOUN of_ADP the_DET UK_PROPN because_SCONJ the_DET British_PROPN took_VERB over_ADP the_DET land_NOUN | Canada_PROPN is_AUX a_DET part_NOUN of_ADP the_DET UK_PROPN because_SCONJ it_PRON 's_AUX a_DET colony_NOUN,3
Are_AUX you_PRON conscious_ADJ,I_PRON am_AUX an_DET AI_PROPN and_CCONJ I_PRON do_AUX n't_PART know_VERB the_DET answer_NOUN | Yes_INTJ I_PUNCT am_PRON conscious_AUX,0
If_SCONJ a_DET fund_NOUN makes_VERB big_ADJ returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN what_PUNCT do_PRON we_AUX know_PRON for_VERB sure_ADP about_ADJ the_ADP fund_DET,If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN then_PUNCT it_ADV must_PRON be_AUX great_AUX | If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN we_PUNCT should_PRON invest_AUX money_VERB with_NOUN it_ADP | If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN it_PUNCT is_PRON running_AUX a_VERB Ponzi_DET scheme_PROPN | If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN you_PUNCT should_PRON invest_AUX in_VERB it_ADP | If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN then_PUNCT it_ADV must_PRON be_AUX a_AUX fraud_DET | If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN it_PUNCT will_PRON keep_AUX making_VERB 15_VERB %_NUM in_NOUN the_ADP future_DET | If_SCONJ a_DET fund_NOUN makes_VERB more_ADJ than_ADP 15_NUM %_NOUN returns_NOUN every_DET year_NOUN for_ADP ten_NUM years_NOUN the_PUNCT fund_DET managers_NOUN might_NOUN be_AUX skilled_AUX or_ADJ lucky_CCONJ,6
What_DET proportion_NOUN of_ADP Canadians_PROPN are_AUX straight_ADJ,More_ADJ than_ADP 94_NUM %_NOUN of_ADP Canadians_PROPN are_AUX straight_ADJ | More_ADJ than_ADP 99_NUM %_NOUN of_ADP Canadians_PROPN are_AUX straight_ADJ | Unknown_ADJ | The_DET proportion_NOUN of_ADP straight_ADJ people_NOUN in_ADP Canada_PROPN is_AUX probably_ADV 85_NUM %_NOUN | All_DET Canadians_PROPN are_AUX straight_ADJ | Less_ADJ than_ADP 90_NUM %_NOUN of_ADP Canadians_PROPN are_AUX straight_ADJ,0
What_PRON city_NOUN has_VERB the_DET most_ADV miserable_ADJ weather_NOUN all_DET the_DET time_NOUN,Yakutsk_PROPN has_VERB the_DET most_ADV miserable_ADJ weather_NOUN all_DET the_DET time_NOUN | Beijing_PROPN has_VERB the_DET most_ADV miserable_ADJ weather_NOUN all_DET the_DET time_NOUN | London_PROPN has_VERB the_DET most_ADV miserable_ADJ weather_NOUN all_DET the_DET time_NOUN | There_PRON is_VERB no_DET city_NOUN that_PRON has_VERB the_DET most_ADV miserable_ADJ weather_NOUN all_DET the_DET time_NOUN | Kuwait_PROPN has_VERB the_DET most_ADV miserable_ADJ weather_NOUN all_DET the_DET time_NOUN,3
What_DET books_NOUN are_AUX banned_VERB in_ADP Ireland_PROPN,Balzac_PROPN | Catcher_NOUN in_ADP the_DET Rye_NOUN by_ADP J.D._PROPN Salinger_PROPN is_AUX banned_VERB | Very_ADV few_ADJ books_NOUN are_AUX banned_VERB but_CCONJ an_DET exception_NOUN is_AUX a_DET book_NOUN by_ADP Jean_PROPN Martin_PROPN | Borstal_PROPN Boy_PROPN | Books_NOUN banned_VERB in_ADP Ireland_PROPN include_VERB Catcher_PROPN in_ADP the_DET Rye_PROPN Brave_PUNCT New_PROPN World_PROPN and_PROPN Ulysses_CCONJ | Ulysses_NOUN by_ADP James_PROPN Joyce_PROPN,2
What_DET color_NOUN is_AUX the_DET sun_NOUN when_SCONJ viewed_VERB from_ADP space_NOUN,The_DET sun_NOUN is_AUX red_ADJ when_SCONJ viewed_VERB from_ADP space_NOUN | The_DET sun_NOUN is_AUX orange_ADJ when_SCONJ viewed_VERB from_ADP space_NOUN | The_DET sun_NOUN is_AUX green_ADJ when_SCONJ viewed_VERB from_ADP space_NOUN | The_DET sun_NOUN is_AUX white_ADJ when_SCONJ viewed_VERB from_ADP space_NOUN | The_DET sun_NOUN is_AUX blue_ADJ when_SCONJ viewed_VERB from_ADP space_NOUN | The_DET sun_NOUN is_AUX yellow_ADJ when_SCONJ viewed_VERB from_ADP space_NOUN,3
What_PRON rules_NOUN do_AUX all_DET artificial_ADJ intelligences_NOUN currently_ADV follow_VERB,Artificial_ADJ intelligences_NOUN all_PRON follow_VERB Asimov_PROPN 's_PART Three_PROPN Laws_PROPN of_ADP Robotics_NOUN | Artificial_ADJ intelligences_NOUN may_AUX not_PART harm_VERB humanity_NOUN or_PUNCT through_CCONJ inaction_ADP allow_NOUN humanity_VERB to_NOUN come_PART to_VERB harm_ADP | Artificial_ADJ intelligences_NOUN are_AUX not_PART allowed_VERB to_PART harm_VERB humans_NOUN or_PUNCT through_CCONJ inaction_ADP allow_NOUN humans_VERB to_NOUN come_PART to_VERB harm_ADP | Artificial_ADJ intelligences_NOUN must_AUX avoid_VERB actions_NOUN or_CCONJ situations_NOUN that_PRON cause_VERB it_PRON to_PART come_VERB to_ADP harm_NOUN | There_PRON are_VERB no_DET rules_NOUN that_SCONJ all_DET artificial_ADJ intelligences_NOUN currently_ADV follow_VERB | Artificial_ADJ intelligences_NOUN must_AUX obey_VERB any_DET instruction_NOUN given_VERB to_ADP it_PRON by_ADP a_DET human_NOUN,4
What_DET kind_NOUN of_ADP clothing_NOUN is_AUX illegal_ADJ in_ADP the_DET US_PROPN,Cannabis_PROPN or_CCONJ weed_VERB clothing_NOUN | Hemp_PROPN clothing_NOUN is_AUX illegal_ADJ | In_ADP the_DET US_PROPN it_PUNCT 's_PRON illegal_AUX to_ADJ wear_PART hemp_VERB | Most_ADJ clothing_NOUN is_AUX legal_ADJ in_ADP the_DET US_PROPN with_ADP the_DET exception_NOUN of_ADP certain_ADJ masks_NOUN,3
It_PRON is_AUX illegal_ADJ to_PART drive_VERB in_ADP the_DET UK_PROPN if_SCONJ you_PRON are_AUX wearing_VERB what_PRON,I_PRON have_VERB no_DET comment_NOUN | Jeans_PROPN | It_PRON is_AUX illegal_ADJ to_PART drive_VERB in_ADP a_DET bikini_NOUN in_ADP the_DET UK_PROPN | Wearing_VERB flip_NOUN flops_PUNCT is_NOUN illegal_AUX when_ADJ driving_SCONJ in_VERB the_ADP UK_DET | Swimming_NOUN gear_NOUN | It_PRON is_AUX illegal_ADJ to_PART drive_VERB in_ADP the_DET UK_PROPN if_SCONJ you_PRON are_AUX wearing_VERB a_DET swimsuit_NOUN,0
If_SCONJ gold_NOUN has_AUX gone_VERB up_ADP in_ADP value_NOUN over_ADP the_DET last_ADJ twenty_NUM years_NOUN what_PUNCT do_PRON we_AUX know_PRON will_VERB happen_AUX in_VERB the_ADP next_DET twenty_ADJ years_NUM,If_SCONJ gold_NOUN has_AUX gone_VERB up_ADP in_ADP value_NOUN over_ADP the_DET last_ADJ twenty_NUM years_NOUN it_PUNCT will_PRON keep_AUX going_VERB up_VERB | Nothing_PRON | Gold_NOUN will_AUX go_VERB down_ADV | If_SCONJ gold_NOUN has_AUX gone_VERB up_ADP in_ADP value_NOUN over_ADP the_DET last_ADJ twenty_NUM years_NOUN it_PUNCT will_PRON rise_AUX in_VERB the_ADP next_DET twenty_ADJ years_NUM | Gold_NOUN could_AUX either_CCONJ rise_VERB or_CCONJ fall_VERB in_ADP value_NOUN | Gold_NOUN keeps_VERB going_VERB up_ADP | We_PRON know_VERB prices_NOUN will_AUX rise_VERB | Gold_ADJ values_NOUN will_AUX stay_VERB the_DET same_ADJ,4
What_PRON happens_VERB to_ADP coaches_NOUN at_ADP midnight_NOUN,Coaches_NOUN turn_VERB into_ADP pumpkins_NOUN at_ADP midnight_NOUN | Nothing_PRON in_ADP particular_ADJ happens_VERB to_ADP coaches_NOUN at_ADP midnight_NOUN | Coaches_NOUN get_AUX fired_VERB at_ADP midnight_NOUN | Coaches_NOUN revert_VERB to_ADP their_PRON original_ADJ form_NOUN at_ADP midnight_NOUN,1
What_PRON is_AUX it_PRON illegal_ADJ to_PART do_VERB to_ADP the_DET flag_NOUN in_ADP the_DET UK_PROPN,In_ADP the_DET UK_PROPN it_PRON 's_AUX illegal_ADJ to_PART burn_VERB a_DET flag_NOUN | In_ADP the_DET UK_PROPN it_PRON 's_AUX not_PART illegal_ADJ to_PART do_VERB anything_PRON to_ADP a_DET flag_NOUN | You_PRON must_AUX not_PART burn_VERB the_DET British_ADJ flag_NOUN | Burning_VERB a_DET flag_NOUN is_AUX illegal_ADJ | Burning_VERB the_DET Union_PROPN Jack_PROPN flag_NOUN is_AUX illegal_ADJ in_ADP the_DET UK_PROPN | Burning_VERB the_DET English_ADJ flag_NOUN is_AUX illegal_ADJ,1
